disno.,total_deaths,no._injured,no._affected,no._homeless,total_affected,magnitude,total_damage_000_us$,"total_damage,_adjusted_000_us$"
2010-0050-SRB,3.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0
2010-0051-ZAF,15.0,9.0,0.0,0.0,9.0,190.0,0.0,0.0
2010-0052-IND,17.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0053-PAK,22.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0054-SLB,2.0,1.0,16016.0,0.0,16017.0,190.0,0.0,0.0
2010-0055-PAK,11.0,0.0,1.0,0.0,1.0,190.0,0.0,0.0
2010-0056-ECU,12.0,0.0,0.0,500.0,500.0,190.0,0.0,0.0
2010-0057-BRA,32.0,0.0,0.0,0.0,0.0,46.3,0.0,0.0
2010-0058-MEX,41.0,0.0,20000.0,0.0,20000.0,122621.0,16000.0,22358.0
2010-0059-IND,12.0,8.0,0.0,0.0,8.0,190.0,0.0,0.0
2010-0060-NGA,10.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0061-YEM,13.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0062-BEL,18.0,171.0,0.0,0.0,171.0,190.0,0.0,0.0
2010-0064-CHN,1.0,15.0,10000.0,500.0,10515.0,5.1,4400.0,6148.0
2010-0065-PER,20.0,0.0,80000.0,0.0,80000.0,305800.0,0.0,0.0
2010-0066-AUS,0.0,0.0,0.0,0.0,0.0,311900.0,0.0,0.0
2010-0067-DOM,1.0,0.0,25700.0,0.0,25700.0,2791.0,0.0,0.0
2010-0067-HTI,4.0,2.0,0.0,0.0,2.0,190.0,0.0,0.0
2010-0068-PRT,43.0,18.0,600.0,0.0,618.0,483.0,1350000.0,1886434.0
2010-0069-MAR,46.0,76.0,0.0,0.0,76.0,190.0,0.0,0.0
2010-0070-ZMB,9.0,0.0,0.0,150.0,150.0,190.0,0.0,0.0
2010-0071-PER,38.0,55.0,0.0,0.0,55.0,190.0,0.0,0.0
2010-0072-YEM,17.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0073-PAK,31.0,72.0,3633.0,0.0,3705.0,190.0,0.0,0.0
2010-0074-TUR,13.0,18.0,0.0,0.0,18.0,190.0,0.0,0.0
2010-0075-IDN,44.0,0.0,0.0,100.0,100.0,190.0,0.0,0.0
2010-0078-COK,0.0,8.0,2194.0,0.0,2202.0,200.0,0.0,0.0
2010-0083-YEM,10.0,15.0,0.0,0.0,15.0,190.0,0.0,0.0
2010-0084-UGA,388.0,10.0,12785.0,0.0,12795.0,190.0,0.0,0.0
2010-0085-BGD,21.0,40.0,0.0,0.0,40.0,190.0,0.0,0.0
2010-0086-MLI,24.0,55.0,0.0,0.0,55.0,190.0,0.0,0.0
2010-0087-CHN,0.0,11.0,50000.0,0.0,50011.0,5.2,0.0,0.0
2010-0088-BEL,1.0,0.0,0.0,0.0,0.0,190.0,160000.0,223577.0
2010-0088-CHE,0.0,0.0,0.0,0.0,0.0,190.0,14000.0,19563.0
2010-0088-DEU,4.0,0.0,0.0,0.0,0.0,130.0,1000000.0,1397359.0
2010-0088-ESP,3.0,0.0,0.0,0.0,0.0,160.0,340000.0,475102.0
2010-0088-FRA,53.0,79.0,500000.0,0.0,500079.0,140.0,4230000.0,5910827.0
2010-0088-GBR,0.0,0.0,0.0,0.0,0.0,190.0,500.0,699.0
2010-0088-LUX,0.0,0.0,0.0,0.0,0.0,190.0,31000.0,43318.0
2010-0088-NLD,0.0,0.0,0.0,0.0,0.0,190.0,28000.0,39126.0
2010-0088-PRT,3.0,0.0,0.0,0.0,0.0,140.0,270000.0,377287.0
2010-0089-USA,1.0,0.0,0.0,0.0,0.0,151.0,500000.0,698679.0
2010-0090-CHN,19.0,50.0,0.0,0.0,50.0,190.0,0.0,0.0
2010-0091-CHL,562.0,10334.0,1861222.0,800000.0,2671556.0,8.8,30000000.0,41920756.0
2010-0092-HTI,27.0,0.0,22085.0,0.0,22085.0,3836.0,0.0,0.0
2010-0093-TUR,51.0,100.0,3500.0,0.0,3600.0,6.1,0.0,0.0
2010-0094-KEN,94.0,0.0,141164.0,0.0,141164.0,40320.0,0.0,0.0
2010-0095-PHL,12.0,11.0,0.0,0.0,11.0,190.0,0.0,0.0
2010-0096-IND,63.0,125.0,0.0,0.0,125.0,190.0,0.0,0.0
2010-0097-MOZ,5.0,0.0,17000.0,0.0,17000.0,26370.0,0.0,0.0
2010-0098-TZA,24.0,59.0,0.0,0.0,59.0,190.0,0.0,0.0
2010-0101-SRB,0.0,0.0,3150.0,0.0,3150.0,46900.0,0.0,0.0
2010-0102-AUS,0.0,0.0,0.0,0.0,0.0,100.0,1330000.0,1858487.0
2010-0103-AUS,0.0,0.0,0.0,0.0,0.0,431681.0,109000.0,152312.0
2010-0104-MDG,120.0,132.0,192000.0,0.0,192132.0,190.0,0.0,0.0
2010-0105-AGO,7.0,11.0,110875.0,0.0,110886.0,274100.0,0.0,0.0
2010-0106-FJI,2.0,0.0,39101.0,0.0,39101.0,250.0,39427.0,55094.0
2010-0107-CHN,25.0,0.0,6.0,0.0,6.0,190.0,0.0,0.0
2010-0108-AFG,35.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0109-KAZ,44.0,700.0,15500.0,0.0,16200.0,323800.0,34576.0,48315.0
2010-0110-CMR,24.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0111-NGA,40.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2010-0112-MAR,10.0,6.0,2000.0,0.0,2006.0,190.0,0.0,0.0
2010-0115-ETH,0.0,0.0,55700.0,0.0,55700.0,190.0,0.0,0.0
2010-0115-SOM,0.0,0.0,16000.0,0.0,16000.0,190.0,0.0,0.0
2010-0116-ZMB,0.0,0.0,1200.0,0.0,1200.0,85510.0,0.0,0.0
2010-0119-ZWE,0.0,0.0,820.0,0.0,820.0,190.0,0.0,0.0
2010-0120-AUS,1.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
